name,hex,hue,lightness,saturation,family
dark beige,#ac9362,39.73,0.529,0.308,orange
ugly green,#7a9703,71.76,0.302,0.961,yellow
jade,#1fa774,157.5,0.388,0.687,teal
greenish grey,#96ae8d,103.64,0.618,0.169,chartreuse
dark salmon,#c85a53,3.59,0.555,0.515,red
purplish pink,#ce5dae,316.99,0.586,0.536,magenta
dark aqua,#05696b,181.18,0.22,0.911,cyan
brownish orange,#cb7723,30.0,0.467,0.706,orange
light olive green,#a4be5c,75.92,0.553,0.43,yellow
light aqua,#8cffdb,161.22,0.775,1.0,teal
clay,#b66a50,15.29,0.514,0.411,red
medium green,#39ad48,127.76,0.451,0.504,green
burnt umber,#a0450e,22.6,0.341,0.839,red
dull blue,#49759c,208.19,0.449,0.362,cyan
pale brown,#b1916e,31.34,0.563,0.3,orange
emerald green,#028f1e,131.91,0.284,0.972,green
brownish,#9c6d57,19.13,0.476,0.284,red
mud,#735c12,45.77,0.261,0.729,orange
dark rose,#b5485d,348.44,0.496,0.431,rose
brownish red,#9e3623,9.27,0.378,0.637,red
pink purple,#db4bda,300.42,0.576,0.667,magenta
pinky purple,#c94cbe,305.28,0.543,0.536,magenta
camo green,#526525,77.81,0.271,0.464,yellow
faded green,#7bb274,113.23,0.576,0.287,chartreuse
dusty pink,#d58a94,352.0,0.688,0.472,rose
purple pink,#e03fd8,302.98,0.563,0.722,magenta
vomit green,#89a203,69.43,0.324,0.964,yellow
deep green,#02590f,128.97,0.178,0.956,green
reddish orange,#f8481c,12.0,0.541,0.94,red
mahogany,#4a0100,0.81,0.145,1.0,red
aubergine,#3d0734,310.0,0.133,0.794,magenta
dull pink,#d5869d,342.53,0.68,0.485,rose
evergreen,#05472a,153.64,0.149,0.868,teal
dark sky blue,#448ee4,212.25,0.58,0.748,azure
very light green,#d1ffbd,101.82,0.871,1.0,chartreuse
pastel pink,#ffbacd,343.48,0.865,1.0,rose
grey purple,#826d8c,280.65,0.488,0.124,violet
very light blue,#d5ffff,180.0,0.918,1.0,cyan
dark mauve,#874c62,337.63,0.414,0.28,rose
cadet blue,#4e7496,208.33,0.447,0.316,cyan
ice blue,#d7fffe,178.5,0.922,1.0,teal
light tan,#fbeeac,50.13,0.829,0.908,orange
dirty green,#667e2c,77.56,0.333,0.482,yellow
neon blue,#04d9ff,189.08,0.508,1.0,cyan
wine red,#7b0323,344.0,0.247,0.952,rose
chocolate brown,#411900,23.08,0.127,1.0,red
dull purple,#84597e,308.37,0.433,0.195,magenta
yellow brown,#b79400,48.52,0.359,1.0,orange
denim,#3b638c,210.37,0.39,0.407,azure
eggshell,#ffffd4,60.0,0.916,1.0,yellow
jungle green,#048243,150.0,0.263,0.94,teal
dark peach,#de7e5d,15.35,0.618,0.662,red
poop,#7f5e00,44.41,0.249,1.0,orange
umber,#b26400,33.71,0.349,1.0,orange
light lavender,#dfc5fe,267.37,0.884,0.966,blue
bright yellow,#fffd01,59.53,0.502,1.0,orange
golden yellow,#fec615,45.58,0.539,0.991,orange
dusty blue,#5a86ad,208.19,0.516,0.336,cyan
electric green,#21fc0d,114.98,0.52,0.976,chartreuse
lighter green,#75fd63,112.99,0.69,0.975,chartreuse
slate grey,#59656d,204.0,0.388,0.101,grey
teal green,#25a36f,155.24,0.392,0.63,teal
marine blue,#01386a,208.57,0.21,0.981,cyan
avocado,#90b134,75.84,0.449,0.546,yellow
terra cotta,#c9643b,17.32,0.51,0.568,red
dusty purple,#825f87,292.5,0.451,0.174,violet
light maroon,#a24857,350.0,0.459,0.385,rose
reddish,#c44240,0.91,0.51,0.528,red
